net,data,gt,duration,evaluation
conv_linear,img0_mnist_0.030107.txt,not verified,0m3.824s,true
conv_linear,img6_mnist_0.052523.txt,verified,0m1.575s,true
fc_linear,img0_mnist_0.004477.txt,not verified,0m1.548s,true
fc_linear,img6_mnist_0.102748.txt,verified,0m1.375s,true
fc6_d,img0_mnist_0.004768.txt,not verified,1m0.281s,true
fc6_d,img4_mnist_0.037590.txt,verified,0m2.231s,true
fc6_d,img10_mnist_0.056404.txt,verified,0m3.606s,true
fc6_w,img0_mnist_0.002323.txt,not verified,1m1.122s,true
fc6_w,img4_mnist_0.051968.txt,verified,0m3.262s,true
fc6_w,img10_mnist_0.046423.txt,verified,0m2.411s,true
fc_dw,img0_mnist_0.018995.txt,not verified,1m0.745s,true
fc_dw,img4_mnist_0.019369.txt,verified,0m1.955s,true
fc_dw,img10_mnist_0.048601.txt,verified,0m2.449s,true
fc6_base,img0_mnist_0.036379.txt,not verified,1m0.218s,true
fc6_base,img4_mnist_0.034540.txt,verified,0m1.794s,true
fc6_base,img10_mnist_0.053394.txt,verified,0m1.844s,true
fc_base,img0_mnist_0.018335.txt,not verified,0m42.256s,true
fc_base,img4_mnist_0.049512.txt,verified,0m2.217s,true
fc_base,img10_mnist_0.072961.txt,verified,0m1.918s,true
conv6_base,img0_cifar10_0.000593.txt,not verified,1m0.063s,true
conv6_base,img4_cifar10_0.001726.txt,verified,0m7.031s,true
conv6_base,img10_cifar10_0.003959.txt,verified,0m6.657s,true
fc6_dw,img0_mnist_0.012496.txt,not verified,1m0.594s,true
fc6_dw,img4_mnist_0.035530.txt,verified,0m2.091s,true
fc6_dw,img10_mnist_0.052760.txt,verified,0m3.288s,true
fc_d,img0_mnist_0.022949.txt,not verified,1m0.413s,true
fc_d,img4_mnist_0.045868.txt,verified,0m1.756s,true
fc_d,img10_mnist_0.071258.txt,verified,0m1.891s,true
fc_w,img0_mnist_0.063666.txt,not verified,0m59.087s,true
fc_w,img4_mnist_0.057236.txt,verified,0m1.654s,true
fc_w,img10_mnist_0.082230.txt,verified,0m1.810s,true
conv_d,img0_mnist_0.093947.txt,not verified,1m0.191s,true
conv_d,img4_mnist_0.073991.txt,verified,0m3.683s,true
conv_d,img10_mnist_0.084488.txt,verified,0m10.372s,true
conv_base,img0_mnist_0.064285.txt,not verified,1m0.120s,true
conv_base,img4_mnist_0.038857.txt,verified,0m2.485s,true
conv_base,img10_mnist_0.062742.txt,verified,0m6.981s,true
skip6,img0_mnist_0.014042.txt,not verified,1m0.607s,true
skip6,img4_mnist_0.075734.txt,verified,0m2.061s,true
skip6,img10_mnist_0.090667.txt,verified,0m2.053s,true
skip_large,img0_mnist_0.081176.txt,not verified,1m0.418s,true
skip_large,img4_mnist_0.033906.txt,verified,0m1.777s,true
skip_large,img10_mnist_0.045195.txt,verified,0m2.585s,true
skip,img0_mnist_0.023631.txt,not verified,0m58.973s,true
skip,img4_mnist_0.055097.txt,verified,0m1.668s,true
skip,img10_mnist_0.100253.txt,verified,0m1.804s,true
skip6_large,img0_mnist_0.063030.txt,not verified,1m0.333s,true
skip6_large,img4_mnist_0.024756.txt,verified,0m2.159s,true
skip6_large,img10_mnist_0.035134.txt,verified,0m3.962s,true
